Field,Num_related,Related1,Cond1,Value_cond1,Value,Related2,Cond2,Value_cond2
914,1,904,IN,0,0,,,
874,1,864,IN,0,0,,,
894,1,884,IN,0,0,,,
943,1,884,IN,-2,0,,,
971,1,6164,OUT,1;-3,0,,,
981,1,6164,OUT,1;-3,0,,,
991,1,6164,OUT,3;-3,0,,,
1001,1,6164,OUT,3;-3,0,,,
1011,1,6164,OUT,4;-3,0,,,
1021,1,6164,OUT,4;-3,0,,,
2624,1,6164,OUT,5;-3,0,,,
2634,1,6164,OUT,5;-3,0,,,
3637,1,6164,OUT,2;-3,0,,,
3647,1,6164,OUT,2;-3,0,,,
1120,1,1110,IN,0,0,,,
1130,1,1110,IN,0,0,,,
1568,1,1558,IN,4;5;6,0,,,
1578,1,1558,IN,4;5;6,0,,,
1588,1,1558,IN,4;5;6,0,,,
1598,1,1558,IN,4;5;6,0,,,
1608,1,1558,IN,4;5;6,0,,,
5364,1,1558,IN,4;5;6,0,,,
4609,1,4598,IN,0,0,,,
4620,1,4598,IN,0,0,,,
5375,1,4631,IN,0,0,,,
5386,1,4631,IN,0,0,,,
3606,1,2335,IN,0,0,,,
3616,1,2335,IN,0,0,,,
3751,1,2335,IN,0,0,,,
5663,2,4653,IN,0,12,4642,IN,0
5674,2,4653,IN,0,11,4642,IN,0
5452,1,4728,IN,0,0,,,
5463,1,4728,IN,0,0,,,
5474,1,4728,IN,0,0,,,
5485,1,4728,IN,0,0,,,
5496,1,4728,IN,0,0,,,
5507,1,4728,IN,0,0,,,
5518,1,4728,IN,0,0,,,
3571,1,6159,OUT,4;-3,0,,,
4067,1,6159,OUT,2;-3,0,,,
2956,1,6159,OUT,8;-3,0,,,
3799,1,6159,OUT,1;-3,0,,,
3414,1,6159,OUT,6;-3,0,,,
3773,1,6159,OUT,7;-3,0,,,
3404,1,6159,OUT,3;-3,0,,,
3741,1,6159,OUT,5;-3,0,,,
