Field,Discrete,Exp
2217,0,`2207-0.0` == 0
1618,1,`1558-0.0` == 6
2664,1,"`1558-0.0` == 6 |  `1628-0.0` %in% c(1,2)"
3731,1,"`1558-0.0` %in% c(1,2,3,4,5)"
3859,1,"`1558-0.0` %in% c(1,2,3,4,5) | `3731` == 0"
2654,1,"`1428-0.0` %in% c(0,1,2)"
3680,0,"!(`1349-0.0` %in% c(0,-1,-3,NA) & `1359-0.0` %in% c(0,-1,-3,NA) & `1369-0.0` %in% c(0,-1,-3,NA) & `1379-0.0` %in% c(0,-1,-3,NA) & `1389-0.0` %in% c(0,-1,-3,NA))"
1140,0,`1110-0.0` == 0
1150,1,`1110-0.0` == 0
1249,0,`1239-0.0` == 1
2644,1,"`1239-0.0` == 1 | `1249-0.0` %in% c(1,4)"
2867,0,"`1239-0.0` == 1 | `1249-0.0` %in% c(2,3,4)"
2877,1,"`1239-0.0` == 1 | `1249-0.0` %in% c(2,3,4)"
2887,0,"`1239-0.0` == 1 | `1249-0.0` %in% c(2,3,4) | `2877-0.0` %in% c(3,-7)"
2897,0,"`1239-0.0` == 1 | `1249-0.0` %in% c(2,3,4)"
2907,1,"`1239-0.0` == 1 | `1249-0.0` %in% c(2,3,4)"
3436,0,"`1239-0.0` %in% c(0,2)"
3446,1,"`1239-0.0` %in% c(0,2)"
3456,0,"`1239-0.0` %in% c(0,2) | `3446-0.0` %in% c(3,-7)"
3466,0,"`1239-0.0` %in% c(0,2) | `3446-0.0` %in% c(3,-7)"
3506,0,"`1239-0.0` %in% c(0,2)"
5959,1,"`1239-0.0` %in% c(0,2) | `3446-0.0` %in% c(1,2,-7)"
2724,1,`31-0.0` == 1
3710,0,"`31-0.0` == 1 | `2724-0.0` %in% c(1,2,3)"
2395,1,`31-0.0` == 0
6147,2,`2207-0.0` == 0
4825,0,`2247-0.0`==99
4836,0,`2247-0.0`==99
2257,1,`2247-0.0`==99
3393,1,`2247-0.0`==99
4792,1,`2247-0.0`==99
4803,0,`2247-0.0`==99
4814,0,`2247-0.0`==99 | `4803-0.0` == 0
924,0,`864-0.0` == -2
6162,2,`864-0.0` == -2
2926,0,"`1239-0.0` == 1 | `1249-0.0` %in% c(2,3,4)"
6157,2,"`1239-0.0` == 1 | `1249-0.0` %in% c(2,3,4)"
6158,2,"`1239-0.0` %in% c(0,2) | `3506-0.0` %in% c(1,2)"
6156,2,`4653-0.0`== 0 | `4642-0.0` == 0
2405,0,`31-0.0` == 0
845,0,`6138#1` == 1
757,0,"!(`6142#1` %in% c(1,-3,NA))"
767,0,"!(`6142#1` %in% c(1,-3,NA))"
777,0,"!(`6142#1` %in% c(1,-3,NA))"
796,0,"!(`6142#1` %in% c(1,-3,NA)) | `777-0.0` == 0"
806,0,"!(`6142#1` %in% c(1,-3,NA))"
816,0,"!(`6142#1` %in% c(1,-3,NA))"
826,0,"!(`6142#1` %in% c(1,-3,NA))"
3426,0,"!(`6142#1` %in% c(1,-3,NA)) | `826-0.0` == 1"
6143,2,"!(`6142#1` %in% c(1,-3,NA)) | `777-0.0` == 0"
680,1,"`670-0.0` %in% c(4,5)"
709,0,"`670-0.0` %in% c(4,5)"
728,0,"`670-0.0` %in% c(4,5)"
738,0,"`670-0.0` %in% c(4,5)"
6141,2,"`670-0.0` %in% c(4,5) & `709-0.0` == 1"
1448,1,"`1438-0.0` %in% c(-10, 0)"
1468,1,"`1458-0.0` %in% c(-10, 0)"
